,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,XLM,XRP,Total,Invested
2020-10-19,16.80042,482.934725,1084.7970116695835,10.774477204283523,322.65933700000005,84.38884999999999,1299.209275,6.5817115,284.9574,3593.1032073738675,2437.834253298533
2020-10-20,15.857664,465.857595,1100.563275369449,10.793943051826634,313.8369531,76.338237,1270.2004349999997,6.255569700000001,282.46464000000003,3542.1683122212758,2443.322089371435
2020-10-21,16.200582,494.22101250000003,1167.1170337760323,10.782112102854695,328.68058959999996,82.53271,1419.96036,6.402213,287.977201,3813.873813978887,2451.596715299482
2020-10-22,17.003368,513.8032625,1187.4241252951695,10.91078327902097,349.34401699999995,91.69235,1459.8649799999998,6.559647699999999,295.909245,3932.5117787741897,2451.718121217586
2020-10-23,16.595280000000002,519.3515924999999,1185.0084443323672,10.908487489150058,345.84409860000005,93.42527999999999,1490.002605,6.4299026999999995,293.63657700000005,3961.2022676215174,2448.179504803036
2020-10-24,16.603920000000002,529.7303875,1202.6830924604708,10.889380627476276,348.4763084,97.62490000000001,1593.015445,6.573153700000001,295.41141,4101.007997687948,2442.7167244929196
2020-10-25,16.34304,520.224,1194.1063288339583,10.949627914659843,342.853632,93.312,1580.544,6.375936,291.5712,4056.279764748618,2442.3867649984345
2020-10-26,15.904206,500.0723549999999,1201.4028655976585,11.046417061359422,333.1614924,90.31923,1533.6143550000002,6.2506151999999995,287.039295,3978.8108312590184,2453.0836091741503
2020-10-27,15.79014,508.58178749999996,1252.7974654944744,11.041314410417403,341.5510395,91.7244,1560.46905,6.301435499999999,291.571245,4079.8278774048913,2443.360756331667
2020-10-28,15.2357622,517.674735,1222.788948329458,10.702411328419924,329.84599230000003,88.30536,1507.250535,6.0424332000000005,284.244456,3982.090633357878,2446.3223905810933
2020-10-29,14.778768600000001,517.9973125,1244.800500856886,10.720386954682128,330.2498892,87.45384,1489.73895,6.0000466999999995,281.89908,3983.638774811568,2442.652703816754
2020-10-30,14.463366,506.83789,1253.7998170555743,10.75927565744867,326.07216839999995,85.95859,1464.667715,5.9403664,277.881101,3946.380289513023,2451.7856022389115
2020-10-31,14.42244,507.22791000000007,1275.5120595427306,10.696767511653931,329.5930748,87.07742,1512.18508,6.0163286000000005,278.686514,4021.4175944543845,2457.6179557097253
2020-11-01,15.212196,517.9995,1269.7631348984744,10.706570835348964,337.52050199999996,89.5518,1505.3913,6.074351999999999,278.42328000000003,4030.642635733824,2432.626271130502
2020-11-02,14.325745600000001,499.13284,1256.2242915170839,10.503178470174854,327.4025568,83.73904,1462.7144,5.8594024,274.05503999999996,3933.956494787259,2451.4145543999216
2020-11-03,14.2956246,465.71163500000006,1277.5013102958321,10.32054602136622,325.7888359,79.36921000000001,1441.899445,5.7536948,274.331768,3894.972069617199,2442.5383193362513
2020-11-04,14.768120000000001,465.02180999999996,1304.3110643957493,10.579158796745316,341.8409984,80.95404,1479.20892,5.7595668,275.351984,3977.7956623924943,2446.627829952346
2020-11-05,14.875700799999999,475.5625175,1418.828629540606,10.800286031191424,349.40583590000006,83.74446000000002,1573.3738300000002,6.122955600000001,280.97868000000005,4213.692895371798,2447.2675314953576
2020-11-06,16.63775,491.1262499999999,1416.9345882334494,11.297373979411502,382.1261124999999,92.79625,1690.1193749999998,6.398899999999999,295.8805,4403.31709971286,2461.032257412136
2020-11-07,15.444198,483.41254499999997,1348.1669213103596,10.938003866226364,364.9617972,89.64648,1572.2818650000002,6.0572358,284.726673,4175.6357191765865,2452.665337910277
2020-11-08,16.209596,514.5900475,1404.434537675798,11.060484148358722,380.111985,96.63413,1624.30492,6.1956847,289.43860700000005,4342.979992024158,2451.8567907733377
2020-11-09,16.059648,501.88300999999996,1390.8818577132758,10.918914201480451,371.4713684,95.12603999999999,1576.61336,6.0535444,285.72790399999997,4254.735646714756,2452.179276212082
2020-11-10,16.018434,485.5446,1380.0757964344084,11.221770910446232,374.61807899999997,98.319,1533.70077,6.0209043,287.8175279999999,4193.336882644854,2447.253373528557
2020-11-11,16.08868,486.6256525,1420.1156844782188,11.248113916926156,386.6580322,96.75975,1576.1594100000002,6.0977615,291.18993000000006,4290.943014595145,2462.516959921698
2020-11-12,15.984971999999999,495.09859500000005,1485.5496687919915,11.411418631018647,388.66863420000004,94.7484,1623.597885,6.1578819,292.04666100000003,4413.26411652301,2462.4267360253293
2020-11-13,16.166104,491.0283,1480.5069345792438,11.486926579476629,398.3461856,97.86347999999998,1753.06418,6.2641751999999995,302.85971600000005,4557.586001958721,2452.179276212082
2020-11-14,15.846102,485.5627725,1458.5931406890977,11.32571344173657,385.5435771,95.59416,1699.5363,6.1611044999999995,306.083976,4464.246846230834,2442.9725720665833
2020-11-15,15.269970000000002,455.8010075,1445.0764095517918,11.31712841290047,374.296593,92.07563999999999,1655.9940600000002,6.072282100000001,307.002367,4362.9054575646915,2447.0113313907254
2020-11-16,15.757474,471.90904750000004,1512.1211139826623,11.777138709820525,383.8582847,95.69745999999999,1957.3618749999998,6.2514252,327.48702099999997,4782.220840092483,2443.3377563960853
2020-11-17,16.57611,481.25594250000006,1595.2514033571986,11.958775886428564,401.2917282,101.34891,2020.7716200000002,6.5358315,343.231443,4978.221764443627,2447.327800798334
2020-11-18,16.120052,464.056375,1603.8661156338314,11.820173484416209,397.7403562,102.52716,1944.2733449999998,6.3172155000000005,332.646195,4879.366987818247,2457.994998309415
2020-11-19,16.029024,464.37248000000005,1608.0545604182926,11.8229824951033,392.21462720000005,103.07616,2159.30176,6.3548496000000005,344.64672,5105.873163713397,2456.5369781854856
2020-11-20,17.85147,489.783675,1680.057389054109,12.111428178512343,423.3823935,106.30905,2178.6187499999996,6.680342999999999,373.364325,5288.158823732621,2456.5158739702347
2020-11-21,20.122968,574.47828,1684.1642927684807,14.24987099603151,458.4224964,116.6166,2299.6869,8.242416,523.98216,5699.9659841645125,2447.9852984030294
2020-11-22,22.02556,544.1708775,1657.913984708033,13.54320570004735,465.0221785,109.44892999999999,2187.01742,7.859806,504.423039,5511.42500140808,2433.9728046031887
2020-11-23,23.25843,607.240725,1650.3390566130531,14.901926910154137,504.0267375,114.93728999999999,2345.71428,9.943166999999999,693.8990760000002,5964.260689023207,2443.860919852591
2020-11-24,25.086688,651.58621,1714.7142454955815,17.170604749467934,499.134317,117.55633999999999,2342.91211,14.673911999999998,779.697864,6162.53229124505,2447.8707874530905
2020-11-25,23.17406,586.0176,1673.4044863124195,14.925278188588324,469.202811,106.358,2143.8627,14.478169999999999,709.1831599999999,5740.606265501008,2447.6503977841026
2020-11-26,20.765536,508.67311,1535.5161934959322,13.098683923696013,428.81732079999995,94.5252,1863.4592899999998,12.610862,603.618422,5081.084618219628,2428.9720260714016
2020-11-27,21.349408000000004,499.6145400000001,1539.900509208089,13.249265598183205,429.26839119999994,94.10000000000001,1821.9642000000001,15.54532,634.0006320000001,5068.992266006273,2437.587580933498
2020-11-28,24.866919999999997,520.2977,1594.9500926656817,13.752576684676965,445.910322,98.6986,1917.4974,15.08754,707.88536,5338.946511350359,2451.999255150298
2020-11-29,25.066636,536.3710925,1632.7139192359407,13.891370939915891,476.4338469,100.65774,2078.266365,14.602143,683.0583079999999,5561.061421575856,2437.8242867920335
2020-11-30,25.79312,594.8538299999999,1762.4776997759704,14.348889831910492,508.3614008,106.99646,2300.46138,15.198446,746.920768,6075.41199440788,2438.970815155697
2020-12-01,23.255975999999997,537.3647475,1673.9717355847874,13.337202626260671,481.23280259999996,99.76455,2226.3561600000003,13.727901,685.311465,5754.322540311047,2447.6251418469706
2020-12-02,23.76866,551.759075,1719.1857848032726,13.547028254670902,493.07822740000006,104.82204000000002,2335.1021400000004,13.886296,708.958394,5964.107645457944,2448.4151575203937
2020-12-03,24.458960000000005,544.7524925,1728.8301104011055,13.741448660131795,505.2617119,104.17429000000001,2323.37749,13.735794000000002,705.1413769999999,5963.473674461237,2452.599344181284
2020-12-04,22.063584,522.0508199999999,1661.6510483880018,13.168715188030756,465.8745167999999,94.64352,2078.9479199999996,12.061824,619.609032,5490.070980376033,2453.060470485143
2020-12-05,23.844288,539.79576,1704.1489087796706,13.591351186644998,489.4468832,98.19552,2170.14336,12.801952,654.592064,5706.5600871663155,2442.8790053080365
2020-12-06,23.700258,534.5811975,1725.4732419801278,13.587326030714957,494.24297010000004,100.87917,2183.79882,13.134453,696.0812070000001,5785.478643610843,2447.5018733508905
2020-12-07,23.115399999999998,532.3859375,1717.1399998690576,13.454811878573283,488.081671,98.09034999999999,2191.23485,12.615904999999998,684.5760799999998,5760.69500524763,2444.123095013736
2020-12-08,21.171528,501.79295250000007,1639.7805447518167,12.77972712841407,457.77431700000005,91.01358,2013.881625,11.455416,628.615953,5378.265643380232,2457.5316978712344
2020-12-09,22.19408,503.80936499999996,1659.3354340707438,12.716960491297254,472.91235639999996,94.62476,2031.2082,12.89656,655.572634,5465.270349962041,2453.137328702741
2020-12-10,21.361626,499.755165,1639.5667900511191,12.555803780976774,462.42124500000006,89.72184,1967.4072600000002,12.080835,646.080045,5350.950609832096,2453.3417900818604
